average_rating,city,doctor_name,phone_number,street_address,type,appointment_date,appointment_time
5,Daly City,"Dr. Gary W. Oliver, MD",650-756-5500,1618 Sullivan Avenue Suite 105,Dermatologist,,
5,,"Dr. Gary W. Oliver, MD",650-756-5500,1618 Sullivan Avenue Suite 105,Dermatologist,,
4.9,Morgan Hill,"Camino Ear, Nose & Throat Clinic",669-258-5454,980 Trancas Street # 10,ENT Specialist,,
4.1,Morgan Hill,"Donald Burt, Jr., MD",408-847-1199,175 North Jackson Avenue #200,ENT Specialist,,
4.1,,"Donald Burt, Jr., MD",408-847-1199,175 North Jackson Avenue #200,ENT Specialist,,
4.5,,NCMA Redwood Family Dermatology,707-545-4537,2725 Mendocino Avenue,Dermatologist,,
3.8,,"Helena A. Longin, M.D.",707-521-7760,196 Wikiup Drive,Dermatologist,,
4.1,Alameda,Kochenburger Richard J MD,510-522-6544,2111 Whitehall Place,Gynecologist,,
4.2,Alameda,Olivia Butt MD - Alameda OB GYN,510-864-4800,"501 S Shore Ctr W, Ste D",Gynecologist,,
4.1,,Kochenburger Richard J MD,510-522-6544,2111 Whitehall Place,Gynecologist,,
3.7,,California Sinus Centers,650-399-4630,"F3, 900 Blake Wilbur Drive",ENT Specialist,,
5,Vallejo,"Bilhartz Women's Health Center, Dr. Teri Bilhartz",707-812-1910,480 Redwood Street suite 14,Gynecologist,,
5,Vallejo,"Rima Goldman, MD",707-651-1031,975 Sereno Drive,Gynecologist,,
5,,"Rima Goldman, MD",707-651-1031,975 Sereno Drive,Gynecologist,,
3.7,Point Reyes Station,Point Reyes Medical Clinic: Hamblin Basil C MD,415-663-8666,3 Harbor Drive Ste 111,General Practitioner,,
3.5,Rohnert Park,Maggioncalda Michael D DO,707-206-3044,1100 Trancas Street #350,General Practitioner,,
4,Rohnert Park,"Robert L. Goodman, MD",707-584-7474,1 Quality Drive,General Practitioner,,
5,Rohnert Park,Weinstein Jamie S MD,707-206-3000,5900 State Farm Drive,General Practitioner,,
3.5,,Maggioncalda Michael D DO,707-206-3044,1100 Trancas Street #350,General Practitioner,,
3.4,,Family Health Center of Benicia,707-745-0711,1440 Military West # 101,General Practitioner,,
4.5,,"Dr. Ruth E. Hoddinott, MD",650-301-0500,795 El Camino Real,General Practitioner,,
3.7,,"Attia Kadri, M.D.",510-204-5600,2500 Milvia Street,Gynecologist,,
4.5,Antioch,"Andrew Ness, MD",925-293-8934,1200 Central Boulevard suite d,Dermatologist,,
4.7,Antioch,Delta Aesthetics,925-757-5311,320 Lennon Lane,Dermatologist,,
3.2,Antioch,Diablo Dermatology,925-754-6767,3807 Lone Tree Way,Dermatologist,,
4.5,,"Andrew Ness, MD",925-293-8934,1200 Central Boulevard suite d,Dermatologist,,
3.8,San Mateo,Bay Family Medical Group: Paley Adam E MD,650-348-7923,801 Brewster Avenue #240,General Practitioner,,
5,San Mateo,"Dr. Brian T. Mitchell, DO",650-343-3122,50 South San Mateo Drive,General Practitioner,,
5,San Mateo,"Dr. Masayasu Kihira, MD",650-558-9364,60 North El Camino Real,General Practitioner,,
5,San Mateo,Hipolito Ernesto B MD,650-570-2273,1 Baywood Ave # 6,General Practitioner,,
3.7,San Mateo,Kawano David MD,650-579-4407,301 Industrial Road Level 3,General Practitioner,,
4.8,San Mateo,"Richard Young, MD",650-342-2974,100 South Ellsworth Avenue Ste 504,General Practitioner,,
3.8,,Bay Family Medical Group: Paley Adam E MD,650-348-7923,801 Brewster Avenue #240,General Practitioner,,
5,,Bay Area Retina Associates,925-463-8200,2219 Buchanan Road #6,Ophthalmologist,,
5,San Carlos,"Jennifer C. Boldrick, M.D.",415-600-3451,55 2nd Street,Dermatologist,,
5,San Carlos,"Shaheen Khosla, DO",650-591-8501,1010 Laurel Street,Dermatologist,,
3.7,,John Muir Medical Group: Dr. Manisha Shingate,925-224-0722,5860 Owens Drive Suite 210,General Practitioner,,
5,,"Audrey Koh, MD (Associates In Obstetrics and Gynecology)",415-923-3128,94109. parking entry on Hyde St 1199 Bush Street Suite 500 Suite 500,Gynecologist,,
5,San Rafael,"Dr. Kathryn K. Najafi-Tagol, MD",415-444-0301,901 E Street,Ophthalmologist,,
5,,"Dr. Kathryn K. Najafi-Tagol, MD",415-444-0301,901 E Street,Ophthalmologist,,
5,,"Dr. Christine P. Weigen, MD",800-230-7526,2636 Telegraph Avenue,General Practitioner,,
5,,"Dr. Lloyd C Ford, MD - Contra Costa ENT a Division of BASS Medical Group",925-932-3112,365 Lennon Lane Suite 280,ENT Specialist,,
4,,"Dr. Mehrnoosh Almassi, MD",925-674-2125,2485 High School Street #111,Gynecologist,,
4.8,,"J. Timothy Murphy, M.D.",415-209-2609,468 Tehama Street A,General Practitioner,,
3.5,Pittsburg,"Dr. Sharon Y. de Edwards, MD FACOG NCMP",925-754-9961,2240 Gladstone Drive #1,Gynecologist,,
3.5,,"Dr. Sharon Y. de Edwards, MD FACOG NCMP",925-754-9961,2240 Gladstone Drive #1,Gynecologist,,
5,St. Helena,"Francis Mueller, MD",707-259-2000,1103 Trancas Street B,General Practitioner,,
5,,Family Birth Place,707-963-6505,10 Woodland Road,Gynecologist,,
5,,"Caroline Schreiber, MD",510-645-9900,3100 Telegraph Avenue # 2109,General Practitioner,,
5,,"Dr. Brian T. Mitchell, DO",650-343-3122,50 South San Mateo Drive,General Practitioner,,
4.3,,Dermatology Associates of the Bay Area,510-741-7299,500 Alfred Nobel Drive #245,Dermatologist,,
3.4,,Advanced Laser & Skin Care Center,925-743-1488,101 Park Place,Dermatologist,,
5,,"Makela Women's Health: Sandra Makela, M.D.",408-335-7774,3425 South Bascom Avenue #235,Gynecologist,,
3.5,,"Gul A. Zikria, M.D., FACOG",408-217-7781,1109 South Park Victoria Drive,Gynecologist,,
4,Sunnyvale,"Bernard Recht, Ph.D., M.D.",408-736-0441,603 South Knickerbocker Drive,Dermatologist,,
5,Sunnyvale,"Jennifer Chan, M.D.",916-773-7979,5933 Coronado Lane,Dermatologist,,
4,,"Bernard Recht, Ph.D., M.D.",408-736-0441,603 South Knickerbocker Drive,Dermatologist,,
4,,MarinEyes,415-892-0111,2100 Webster Street #214,Ophthalmologist,,
4.9,,Bay Area Retina Associates,925-943-6800,122 La Casa Via,Ophthalmologist,,
5,,"Dr. Patricia W. Kulawiak, MD",707-431-1427,421 March Avenue D,General Practitioner,,
5,,"Jennifer C. Boldrick, M.D.",415-600-3451,55 2nd Street,Dermatologist,,
5,,"Dr. Julianne G. O'callahan, MD",650-366-4633,2950 Whipple Avenue,Gynecologist,,
5,,Berkeley Family Practice Medical: Zaman Aysha MD,510-841-1647,3000 Colby Street #201,General Practitioner,,
5,,"Catherine Wang, MD",925-947-0417,2621 Shadelands Drive,General Practitioner,,
5,,"David Quincy, M.D., MPH",408-241-3801,2734 East El Camino Real,General Practitioner,,
5,Morgan Hill,Dr. Becky Kroll,408-779-5546,777 Knowles Drive #8,General Practitioner,,
3.7,Morgan Hill,"Dr. Robin E. Bennett, DO",408-776-8040,18181 Butterfield Boulevard #180,General Practitioner,,
5,Morgan Hill,Perez Ricardo MD,408-779-0668,18181 Butterfield Boulevard #180,General Practitioner,,
5,,Dr. Becky Kroll,408-779-5546,777 Knowles Drive #8,General Practitioner,,
3.7,,Medicus: Carrillo Lornalyn J MD,650-994-0459,1800 Sullivan Avenue,General Practitioner,,
5,Livermore,"Mignonette (Mae) Willkom, MD",925-454-4280,1447 Cedarwood Lane # A,General Practitioner,,
4,Livermore,"Sonal Aggarwal, MD",925-373-0337,87 Fenton Street Suite 210,General Practitioner,,
5,,"Mignonette (Mae) Willkom, MD",925-454-4280,1447 Cedarwood Lane # A,General Practitioner,,
5,,Darith Khay Inc,408-254-4100,3030 Alum Rock Avenue,General Practitioner,,
5,,Napa Dermatology Associates,707-252-2931,1700 2nd Street #220,Dermatologist,,
3.7,,"Bayspring Medical Group: Dr. Marilyn Milkman, MD",415-674-2600,1199 Bush Street,Gynecologist,,
5,Alameda,"Dr. April Fredian, MD",510-992-3104,450 Park Street #100b,General Practitioner,,
5,Alameda,"William Sellman, MD",510-521-2300,2433 Central Avenue,General Practitioner,,
